weekday,n,win_rate,ev_R
0,8,0.125,-0.181443
1,16,0.1875,-0.18521356249999998
2,3,0.0,-0.096654
3,11,0.18181818181818182,-0.22163845454545453
4,5,0.4,-0.07600399999999999
5,7,0.2857142857142857,-0.129722
6,10,0.3,-0.14679330000000002
