hour_utc,n,win_rate,ev_R
3,9,0.3333333333333333,-0.3863391111111112
7,11,0.36363636363636365,-0.12559463636363635
11,11,0.18181818181818182,-0.375949
15,12,0.5833333333333334,0.20340091666666668
19,4,0.25,-0.40845325
23,13,0.3076923076923077,-0.1915433076923077
