inst_id,state,settle_ccy,quote_ccy,list_time_iso,list_time_ms,ct_val,min_sz,lot_sz,tick_sz,lever_max,last_price,vol_24h_usdt,best_bid,best_ask,spread_bps,notional_min_per_lot,notional_max_at_lever,loss_per_lot_at_stop_5pct,acceptable_loss_usd,max_lots_at_risk_cap,can_open_at_lever_cap,can_open_with_risk_cap,can_open_position,can_place_hard_stop,can_post_only_fill,tickSz_pct_of_price
GRAM-USDT-SWAP,live,USDT,USDT,2026-06-17T10:30:00+00:00,1781692200000,1.0,1.0,1.0,0.001,50.0,1.568,7019382.5,1.569,1.57,6.37145587766876,1.568,350.0,0.07840000000000001,2.1,26,True,True,True,True,False,0.0006377551020408163
IBM-USDT-SWAP,live,USDT,USDT,2026-05-27T10:30:00+00:00,1779877800000,1.0,0.01,0.01,0.01,20.0,259.19,7004581.24,258.8,258.93,5.021922623761244,2.5919,140.0,0.129595,2.1,16,True,True,True,True,False,3.8581735406458585e-05
GLW-USDT-SWAP,live,USDT,USDT,2026-05-18T09:00:00+00:00,1779094800000,1.0,0.01,0.01,0.01,10.0,226.99,6694034.98,226.82,226.89,3.085671464150809,2.2699000000000003,70.0,0.11349500000000001,2.1,18,True,True,True,True,True,4.405480417639543e-05
ORCL-USDT-SWAP,live,USDT,USDT,2026-03-11T10:00:00+00:00,1773223200000,1.0,0.01,0.01,0.01,20.0,151.25,6470013.69,151.2,151.21,0.6613537912118864,1.5125,140.0,0.075625,2.1,27,True,True,True,True,True,6.611570247933885e-05
BB-USDT-SWAP,live,USDT,USDT,2026-06-01T09:00:00+00:00,1780304400000,1.0,1.0,1.0,0.001,20.0,10.214,6092691.86,10.231,10.232,0.9773737966079712,10.214,140.0,0.5107,2.1,4,True,True,True,True,True,9.790483649892304e-05
RESOLV-USDT-SWAP,live,USDT,USDT,2025-06-10T14:30:00.438000+00:00,1749565800438,10.0,1.0,1.0,1e-05,20.0,0.02251,59946912.46,0.02255,0.02256,4.433606739082063,0.2251,140.0,0.011255000000000001,2.1,186,True,True,True,True,True,0.0004442470013327411
RKLB-USDT-SWAP,live,USDT,USDT,2026-05-12T10:15:00+00:00,1778580900000,1.0,0.01,0.01,0.01,20.0,82.87,5679871.68,82.88,82.93,6.030999336591444,0.8287000000000001,140.0,0.04143500000000001,2.1,50,True,True,True,True,False,0.00012067093037287317
ALLO-USDT-SWAP,live,USDT,USDT,2025-11-11T16:45:00.659000+00:00,1762879500659,10.0,1.0,1.0,1e-05,10.0,0.37675,54529822.98,0.37704,0.37705,0.2652203317909003,3.7674999999999996,70.0,0.188375,2.1,11,True,True,True,True,True,2.6542800265428006e-05
O-USDT-SWAP,live,USDT,USDT,2026-06-17T16:30:00+00:00,1781713800000,10.0,1.0,1.0,0.0001,20.0,0.5663,52873766.08,0.5638,0.564,3.5467281432874267,5.663,140.0,0.28315,2.1,7,True,True,True,True,True,0.0001765848490199541
GOOGL-USDT-SWAP,live,USDT,USDT,2026-03-04T07:45:00+00:00,1772610300000,1.0,0.01,0.01,0.01,20.0,343.17,4843926.91,343.28,343.29,0.2913031446188371,3.4317,140.0,0.17158500000000002,2.1,12,True,True,True,True,True,2.9140076347000027e-05
QCOM-USDT-SWAP,live,USDT,USDT,2026-05-19T09:30:00+00:00,1779183000000,1.0,0.01,0.01,0.01,20.0,204.99,4823236.36,204.99,205.08,4.389494476552949,2.0499,140.0,0.102495,2.1,20,True,True,True,True,True,4.878286745694912e-05
LIGHT-USDT-SWAP,live,USDT,USDT,2025-12-16T08:00:00+00:00,1765872000000,1.0,1.0,1.0,0.0001,10.0,0.1172,4782840.82,0.1172,0.1173,8.528784648187878,0.1172,70.0,0.005860000000000001,2.1,358,True,True,True,True,False,0.0008532423208191126
ENSO-USDT-SWAP,live,USDT,USDT,2025-10-29T10:00:01.294000+00:00,1761732001294,1.0,1.0,1.0,0.0001,50.0,0.615,4771671.84,0.6158,0.6159,1.6237720224078749,0.615,350.0,0.03075,2.1,68,True,True,True,True,True,0.00016260162601626016
TSM-USDT-SWAP,live,USDT,USDT,2026-03-11T10:00:00+00:00,1773223200000,1.0,0.01,0.01,0.01,20.0,435.75,4638441.1,435.44,435.45,0.2296501280297375,4.3575,140.0,0.217875,2.1,9,True,True,True,True,True,2.2948938611589213e-05
PROS-USDT-SWAP,live,USDT,USDT,2026-04-28T14:00:00+00:00,1777384800000,1.0,1.0,1.0,0.0001,20.0,0.4329,4524005.0,0.4327,0.4328,2.3108030040449337,0.4329,140.0,0.021645,2.1,97,True,True,True,True,True,0.00023100023100023102
WDC-USDT-SWAP,live,USDT,USDT,2026-05-12T10:45:00+00:00,1778582700000,1.0,0.01,0.01,0.01,20.0,671.16,4340331.32,669.98,670.98,14.91468798472736,6.7116,140.0,0.33558,2.1,6,True,True,True,True,False,1.4899576852017404e-05
0G-USDT-SWAP,live,USDT,USDT,2025-09-22T10:30:00.238000+00:00,1758537000238,1.0,1.0,1.0,0.0001,20.0,0.2141,4331825.35,0.2142,0.2143,4.667444574095168,0.2141,140.0,0.010705000000000001,2.1,196,True,True,True,True,True,0.00046707146193367583
AMZN-USDT-SWAP,live,USDT,USDT,2026-02-26T07:30:00+00:00,1772091000000,1.0,0.01,0.01,0.01,20.0,227.18,4005215.21,227.25,227.26,0.44003432267676856,2.2718000000000003,140.0,0.11359000000000002,2.1,18,True,True,True,True,True,4.401795932740558e-05
AVNT-USDT-SWAP,live,USDT,USDT,2025-09-22T15:30:00.222000+00:00,1758555000222,1.0,1.0,1.0,0.0001,50.0,0.0968,3961719.95,0.0967,0.0968,10.335917312661795,0.0968,350.0,0.0048400000000000006,2.1,433,True,True,True,True,False,0.0010330578512396695
HOOD-USDT-SWAP,live,USDT,USDT,2026-02-25T07:00:00+00:00,1772002800000,1.0,0.1,0.1,0.01,20.0,93.27,3848142.99,93.23,93.26,3.217330687972667,9.327,140.0,0.46635000000000004,2.1,4,True,True,True,True,True,0.00010721561059290234
NG-USDT-SWAP,live,USDT,USDT,2026-03-10T09:00:00+00:00,1773133200000,1.0,1.0,1.0,0.001,50.0,3.271,3846607.68,3.271,3.272,3.056701818737246,3.271,350.0,0.16355,2.1,12,True,True,True,True,True,0.00030571690614490985
MET-USDT-SWAP,live,USDT,USDT,2025-10-10T08:15:00.254000+00:00,1760084100254,1.0,1.0,1.0,0.0001,20.0,0.1494,3688047.46,0.1489,0.149,6.713662302785431,0.1494,140.0,0.007470000000000001,2.1,281,True,True,True,True,False,0.0006693440428380187
NOK-USDT-SWAP,live,USDT,USDT,2026-05-27T10:45:00+00:00,1779878700000,1.0,0.1,0.1,0.01,20.0,13.98,3654529.97,13.99,14.0,7.145409074669372,1.3980000000000001,140.0,0.0699,2.1,30,True,True,True,True,False,0.000715307582260372
NES-USDT-SWAP,live,USDT,USDT,2026-06-24T13:30:00+00:00,1782307800000,10.0,1.0,1.0,0.0001,20.0,0.2008,35500721.14,0.2014,0.2015,4.964010920824856,2.008,140.0,0.1004,2.1,20,True,True,True,True,True,0.00049800796812749
