weekday,n,win_rate,ev_R
0,70,0.9142857142857143,0.44940167142857146
1,51,0.9215686274509803,0.41957029411764707
2,69,0.8985507246376812,0.4219317536231884
3,3,1.0,0.893922
4,4,1.0,0.2565595
5,82,0.9024390243902439,0.3058871585365854
6,246,0.9227642276422764,0.28441941463414633
