hour_utc,n,win_rate,ev_R
0,5,0.6,0.302217
1,8,0.875,1.6428015
2,7,0.8571428571428571,0.6414354285714285
4,6,1.0,2.839992666666667
5,1,1.0,0.870582
6,6,1.0,1.5090375
7,9,1.0,1.3034092222222222
8,4,0.75,0.7936052499999999
9,2,1.0,0.48571
10,1,1.0,0.344922
11,1,1.0,2.035347
12,7,1.0,1.0327154285714286
13,3,1.0,0.9574646666666666
14,14,1.0,0.9916707142857143
15,6,0.8333333333333334,1.7312450000000001
16,7,1.0,0.9328177142857143
17,2,1.0,1.2620515
18,1,1.0,0.870582
19,1,1.0,0.18884
20,6,0.8333333333333334,2.1727298333333334
21,19,1.0,1.5122347368421052
22,8,0.75,0.419189
23,18,0.9444444444444444,0.9455662222222223
