strategy_name,symbol,entry_ts,exit_ts,side,entry_price,exit_price,target_price,stop_price,exit_reason,pnl_R,price_pnl_R,fee_slippage_R,funding_pnl_R,equity_after,bars_held
weekend_wick,DOGEUSDT,2026-05-17 09:00:00+00:00,2026-05-17 09:02:00+00:00,SHORT,0.111,0.11025,0.10989,0.11211,TIME,0.546063,0.616063,0.13,0.0,7.573366,0
weekend_wick,DOGEUSDT,2026-05-17 10:00:00+00:00,2026-05-17 10:02:00+00:00,SHORT,0.11166,0.11113,0.1105434,0.1127766,TIME,0.344922,0.414922,0.13,0.0,7.9652,0
weekend_wick,DOGEUSDT,2026-05-23 00:00:00+00:00,2026-05-23 00:02:00+00:00,LONG,0.10129,0.10219,0.1023029,0.1002771,TIME,0.758023,0.828023,0.13,0.0,8.87087,0
weekend_wick,DOGEUSDT,2026-05-24 21:00:00+00:00,2026-05-24 21:01:00+00:00,LONG,0.10061,0.10174,0.10174,0.0996039,TP,0.992493,1.062493,0.13,0.0,10.191512,0
weekend_wick,DOGEUSDT,2026-05-30 02:00:00+00:00,2026-05-30 02:02:00+00:00,SHORT,0.10152,0.10125,0.1005048,0.1025352,TIME,0.136099,0.206099,0.13,0.0,10.39957,0
weekend_wick,DOGEUSDT,2026-05-31 14:00:00+00:00,2026-05-31 14:02:00+00:00,LONG,0.09997,0.10057,0.1009697,0.0989703,TIME,0.469838,0.539838,0.13,0.0,11.132487,0
weekend_wick,DOGEUSDT,2026-05-31 16:00:00+00:00,2026-05-31 16:02:00+00:00,LONG,0.0993,0.09989,0.100293,0.098307,TIME,0.463821,0.533821,0.13,0.0,11.907009,0
weekend_wick,DOGEUSDT,2026-06-14 12:00:00+00:00,2026-06-14 12:02:00+00:00,LONG,0.08652,0.08699,0.0873852,0.0856548,TIME,0.412919,0.482919,0.13,0.0,12.644504,0
weekend_wick,DOGEUSDT,2026-06-14 14:00:00+00:00,2026-06-14 14:02:00+00:00,LONG,0.08598,0.08634,0.0868398,0.0851202,TIME,0.288469,0.358469,0.13,0.0,13.191635,0
weekend_wick,DOGEUSDT,2026-06-21 23:00:00+00:00,2026-06-21 23:02:00+00:00,LONG,0.08221,0.08263,0.0830321,0.0813879,TIME,0.380598,0.450598,0.13,0.0,13.944743,0
weekend_wick,XRPUSDT,2026-05-23 07:00:00+00:00,2026-05-23 07:01:00+00:00,LONG,1.3113,1.3324,1.3324,1.298187,TP,1.478143,1.548143,0.13,0.0,8.55205,0
weekend_wick,XRPUSDT,2026-05-23 20:00:00+00:00,2026-05-23 20:01:00+00:00,SHORT,1.371,1.3462,1.3462,1.38471,TP,1.679966,1.749966,0.13,0.0,10.707124,0
weekend_wick,XRPUSDT,2026-05-24 21:00:00+00:00,2026-05-24 21:02:00+00:00,LONG,1.335,1.346,1.34835,1.32165,TIME,0.693494,0.763494,0.13,0.0,11.820922,0
weekend_wick,XRPUSDT,2026-05-30 00:00:00+00:00,2026-05-30 00:01:00+00:00,SHORT,1.3478,1.329,1.329,1.361278,TP,1.265685,1.335685,0.13,0.0,14.065157,0
weekend_wick,XRPUSDT,2026-05-30 01:00:00+00:00,2026-05-30 01:02:00+00:00,SHORT,1.356,1.3435,1.34244,1.36956,TIME,0.792364,0.862364,0.13,0.0,15.736865,0
weekend_wick,XRPUSDT,2026-05-30 02:00:00+00:00,2026-05-30 02:02:00+00:00,SHORT,1.3597,1.3599,1.346103,1.373297,TIME,-0.144736,-0.074736,0.13,0.0,15.395212,0
weekend_wick,XRPUSDT,2026-06-06 04:00:00+00:00,2026-06-06 04:01:00+00:00,LONG,1.0574,1.0853,1.0853,1.046826,TP,2.506983,2.576983,0.13,0.0,21.184541,0
weekend_wick,XRPUSDT,2026-06-07 01:00:00+00:00,2026-06-07 01:01:00+00:00,SHORT,1.1155,1.0884,1.0884,1.126655,TP,2.300844,2.370844,0.13,0.0,28.49589,0
