entry_ts,exit_ts,side,entry_price,exit_price,target_price,stop_price,exit_reason,pnl_R,pnl_pct_equity,equity_after,bars_held,symbol
2026-06-12 07:47:00+00:00,2026-06-12 07:59:00+00:00,SHORT,63000.1,63066.5,62055.0985,63189.1003,TIME,-0.884926,-17.6985,5.761103,12,BTCUSDT
2026-06-12 23:47:00+00:00,2026-06-12 23:59:00+00:00,SHORT,63494.4,63547.0,62541.984,63684.8832,TIME,-0.809699,-16.194,4.828151,12,BTCUSDT
2026-06-13 07:33:00+00:00,2026-06-13 07:45:00+00:00,SHORT,63732.7,63800.1,62776.7095,63923.8981,TIME,-0.886119,-17.7224,3.972488,12,BTCUSDT
2026-06-13 15:33:00+00:00,2026-06-13 15:45:00+00:00,SHORT,64245.0,64195.0,63281.325,64437.735,TIME,-0.273814,-5.4763,3.754943,12,BTCUSDT
2026-06-13 23:31:00+00:00,2026-06-13 23:43:00+00:00,SHORT,64418.6,64434.2,63452.321,64611.8558,TIME,-0.614164,-12.2833,3.293713,12,BTCUSDT
2026-06-14 07:32:00+00:00,2026-06-14 07:44:00+00:00,SHORT,64291.7,64271.2,63327.3245,64484.5751,TIME,-0.427043,-8.5409,3.012402,12,BTCUSDT
2026-06-14 15:42:00+00:00,2026-06-14 15:54:00+00:00,SHORT,64013.4,64035.8,63053.199,64205.4402,TIME,-0.650106,-13.0021,2.620726,12,BTCUSDT
2026-06-15 07:35:00+00:00,2026-06-15 07:47:00+00:00,SHORT,65739.0,65681.3,64752.915,65936.217,TIME,-0.240647,-4.8129,2.494592,12,BTCUSDT
2026-06-16 23:53:00+00:00,2026-06-17 00:05:00+00:00,SHORT,65633.5,65673.4,64648.9975,65830.4005,TIME,-0.736155,-14.7231,2.127311,12,BTCUSDT
2026-06-17 23:44:00+00:00,2026-06-17 23:56:00+00:00,SHORT,64413.4,64413.5,63447.199,64606.6402,TIME,-0.533911,-10.6782,1.900152,12,BTCUSDT
2026-06-18 07:43:00+00:00,2026-06-18 07:55:00+00:00,SHORT,64410.4,64426.9,63444.244,64603.6312,TIME,-0.618835,-12.3767,1.664976,12,BTCUSDT
2026-06-19 07:41:00+00:00,2026-06-19 07:53:00+00:00,SHORT,62489.2,62566.8,61551.862,62676.6676,TIME,-0.94758,-18.9516,1.349436,12,BTCUSDT
2026-06-19 15:49:00+00:00,2026-06-19 16:01:00+00:00,SHORT,63192.9,63233.6,62245.0065,63382.4787,TIME,-0.748209,-14.9642,1.147504,12,BTCUSDT
2026-06-19 23:30:00+00:00,2026-06-19 23:42:00+00:00,SHORT,63284.0,63285.5,62334.74,63473.852,TIME,-0.541299,-10.826,1.023276,12,BTCUSDT
2026-06-20 07:34:00+00:00,2026-06-20 07:46:00+00:00,SHORT,63700.1,63717.2,62744.5985,63891.2003,TIME,-0.622929,-12.4586,0.89579,12,BTCUSDT
2026-06-20 15:41:00+00:00,2026-06-20 15:53:00+00:00,SHORT,64092.5,64084.3,63131.1125,64284.7775,TIME,-0.490721,-9.8144,0.807873,12,BTCUSDT
2026-06-20 23:33:00+00:00,2026-06-20 23:45:00+00:00,SHORT,64230.0,64310.8,63266.55,64422.69,TIME,-0.952971,-19.0594,0.653897,12,BTCUSDT
2026-06-21 07:42:00+00:00,2026-06-21 07:54:00+00:00,SHORT,64195.2,64167.6,63232.272,64387.7856,TIME,-0.389994,-7.7999,0.602894,12,BTCUSDT
2026-06-21 15:33:00+00:00,2026-06-21 15:45:00+00:00,SHORT,64174.5,64278.9,63211.8825,64367.0235,TIME,-1.07599,-21.5198,0.473152,12,BTCUSDT
2026-06-22 07:45:00+00:00,2026-06-22 07:57:00+00:00,SHORT,64229.8,64168.9,63266.353,64422.4894,TIME,-0.217151,-4.343,0.452603,12,BTCUSDT
2026-06-22 15:41:00+00:00,2026-06-22 15:53:00+00:00,SHORT,65040.7,64828.5,64065.0895,65235.8221,TIME,0.554784,11.0957,0.502823,12,BTCUSDT
2026-06-22 23:42:00+00:00,2026-06-22 23:54:00+00:00,SHORT,63972.1,64007.3,63012.5185,64164.0163,TIME,-0.716917,-14.3383,0.430726,12,BTCUSDT
2026-06-23 15:46:00+00:00,2026-06-23 15:58:00+00:00,SHORT,62255.3,62442.0659,61321.4705,62442.0659,SL,-1.533994,-30.6799,0.29858,12,BTCUSDT
2026-06-23 23:44:00+00:00,2026-06-23 23:56:00+00:00,SHORT,62585.9,62714.0,61647.1115,62773.6577,TIME,-1.216065,-24.3213,0.225962,12,BTCUSDT
2026-06-24 07:40:00+00:00,2026-06-24 07:52:00+00:00,SHORT,62629.9,62617.0,61690.4515,62817.7897,TIME,-0.464695,-9.2939,0.204961,12,BTCUSDT
2026-06-24 23:32:00+00:00,2026-06-24 23:44:00+00:00,SHORT,60976.7,61000.0,60062.0495,61159.6301,TIME,-0.660841,-13.2168,0.177872,12,BTCUSDT
