weekday,n,win_rate,ev_R
0,329,0.44072948328267475,-0.4063094164133738
1,344,0.4563953488372093,-0.36329077325581394
2,296,0.5371621621621622,-0.28002504729729727
3,164,0.4817073170731707,-0.31584428048780483
4,238,0.6050420168067226,-0.14396927731092435
5,357,0.453781512605042,-0.4465917703081232
6,370,0.6216216216216216,-0.2249365135135135
