symbol,n,win_rate,ev_R,sum_R
ADAUSDT,12,0.9166666666666666,1.1030065833333333,13.236079
ARBUSDT,11,0.9090909090909091,0.9647602727272727,10.612363
DOGEUSDT,10,1.0,0.49521800000000005,4.95218
DOTUSDT,5,1.0,1.8247782000000001,9.123891
FETUSDT,12,0.9166666666666666,1.4910245833333333,17.892295
FILUSDT,7,1.0,1.2103977142857143,8.472784
LDOUSDT,1,1.0,1.1374,1.1374
NEARUSDT,8,1.0,2.02498825,16.199906
OPUSDT,8,1.0,1.218214125,9.745713
POLUSDT,14,0.6428571428571429,0.7110982142857143,9.955375
SEIUSDT,8,1.0,1.5432943749999999,12.346354999999999
SUIUSDT,17,0.9411764705882353,1.402751294117647,23.846771999999998
TIAUSDT,2,1.0,2.2841605,4.568321
WIFUSDT,8,1.0,1.569613125,12.556905
XRPUSDT,19,0.9473684210526315,0.9137504210526316,17.361258
