time_stop_bars,fee_multiplier,slippage_multiplier,n_trades,win_rate,ev_R,profit_factor,pass
2,0.5,0.5,142,0.9437,1.2732,72.4909,True
2,0.5,1.0,142,0.9366,1.2447,64.6243,True
2,0.5,1.5,142,0.9296,1.2162,57.3458,True
2,1.0,0.5,142,0.9366,1.2398,63.3582,True
2,1.0,1.0,142,0.9296,1.2113,56.2137,True
2,1.0,1.5,142,0.9296,1.1828,50.1844,True
2,1.5,0.5,142,0.9296,1.2065,55.1183,True
2,1.5,1.0,142,0.9296,1.178,49.2708,True
2,1.5,1.5,142,0.9155,1.1495,44.0376,True
3,0.5,0.5,142,0.9437,1.2732,72.4909,True
3,0.5,1.0,142,0.9366,1.2447,64.6243,True
3,0.5,1.5,142,0.9296,1.2162,57.3458,True
3,1.0,0.5,142,0.9366,1.2398,63.3582,True
3,1.0,1.0,142,0.9296,1.2113,56.2137,True
3,1.0,1.5,142,0.9296,1.1828,50.1844,True
3,1.5,0.5,142,0.9296,1.2065,55.1183,True
3,1.5,1.0,142,0.9296,1.178,49.2708,True
3,1.5,1.5,142,0.9155,1.1495,44.0376,True
5,0.5,0.5,142,0.9437,1.2732,72.4909,True
5,0.5,1.0,142,0.9366,1.2447,64.6243,True
5,0.5,1.5,142,0.9296,1.2162,57.3458,True
5,1.0,0.5,142,0.9366,1.2398,63.3582,True
5,1.0,1.0,142,0.9296,1.2113,56.2137,True
5,1.0,1.5,142,0.9296,1.1828,50.1844,True
5,1.5,0.5,142,0.9296,1.2065,55.1183,True
5,1.5,1.0,142,0.9296,1.178,49.2708,True
5,1.5,1.5,142,0.9155,1.1495,44.0376,True
