entry_ts,exit_ts,side,entry_price,exit_price,target_price,stop_price,exit_reason,pnl_R,pnl_pct_equity,equity_after,bars_held,symbol
2026-05-20 23:10:00+00:00,2026-05-20 23:12:00+00:00,LONG,1.244,1.244,1.24462166,1.229072,TIME,-0.133318,-2.6664,4.806899,2.0,DOTUSDT
2026-05-22 18:56:00+00:00,2026-05-22 18:58:00+00:00,SHORT,1.294,1.292,1.25518,1.309528,TIME,-0.004471,-0.0894,4.8026,2.0,DOTUSDT
2026-05-31 02:36:00+00:00,2026-05-31 02:38:00+00:00,LONG,1.189,1.189,1.19041902,1.174732,TIME,-0.133318,-2.6664,4.674545,2.0,DOTUSDT
2026-05-31 06:02:00+00:00,2026-05-31 06:04:00+00:00,LONG,1.19,1.19,1.2257,1.17572,TIME,-0.133318,-2.6664,4.549904,2.0,DOTUSDT
2026-05-19 15:02:00+00:00,2026-05-19 15:03:00+00:00,SHORT,0.943,0.95317537,0.95317537,0.954316,TP,-1.03309,-20.6618,5.553674,1.0,FILUSDT
2026-05-20 16:40:00+00:00,2026-05-20 16:42:00+00:00,SHORT,0.966,0.967,0.96419673,0.977592,TIME,-0.219667,-4.3933,5.309683,2.0,FILUSDT
2026-05-20 22:25:00+00:00,2026-05-20 22:26:00+00:00,SHORT,0.965,0.9700345,0.9700345,0.97658,TP,-0.568367,-11.3673,4.706113,1.0,FILUSDT
2026-05-21 11:15:00+00:00,2026-05-21 11:16:00+00:00,SHORT,0.979,0.99516183,0.99516183,0.990748,TP,-1.509883,-30.1977,3.284977,1.0,FILUSDT
2026-05-22 10:24:00+00:00,2026-05-22 10:25:00+00:00,SHORT,1.015,1.0153658,1.0153658,1.02718,TP,-0.163399,-3.268,3.177625,1.0,FILUSDT
2026-05-22 15:05:00+00:00,2026-05-22 15:07:00+00:00,SHORT,1.021,1.017,0.99532814,1.033252,TIME,0.193325,3.8665,3.300487,2.0,FILUSDT
2026-05-26 15:22:00+00:00,2026-05-26 15:23:00+00:00,LONG,1.024,0.99977339,0.99977339,1.011712,TP,-2.103702,-42.074,1.911839,1.0,FILUSDT
2026-05-31 00:20:00+00:00,2026-05-31 00:22:00+00:00,SHORT,0.972,0.974,0.94284,0.983664,TIME,-0.304919,-6.0984,1.795248,2.0,FILUSDT
2026-05-31 05:45:00+00:00,2026-05-31 05:46:00+00:00,LONG,0.971,0.97126886,0.97126886,0.959348,TP,-0.110258,-2.2052,1.75566,1.0,FILUSDT
2026-05-26 16:24:00+00:00,2026-05-26 16:26:00+00:00,SHORT,348.72,348.81,345.95633465,352.90464,TIME,-0.154868,-3.0974,6.783184,2.0,BCHUSDT
